aditya@gmail.com,aditya,18,aditya_166,650,tiger,3
shreyas@gmail.com,shreyas,20,shreyas_500,8000,crocodile,11
wwe,yui,98,fgh,98098,pppp,1
lakshmi@yahoo.com,lakshmi,68,lakshmi_260,1500,parakeets,4
work,LLL,3,psd,101,WWW,0
sheila@gmail.com,sheila,45,sheila_1200,2000,tiger,5
hhh,op,10,aaa,8000,Water,0
vishwa@gmail.com,vishwa,26,vishwa_rocks1,3500,elephant,4
oviya@gmail.com,oviya,60,oviya_260,5000,pandas,2
amanda@gmail.com,amanda,40,amanda_299,1000,parakeets,7
keith@yahoo.com,keith,29,keith_560,6500,pelicans,5
rahul@yahoo.com,rahul,32,rahul_100,4800,flamingo,8
kraus@yahoo.com,kraus,55,kraus_1000,500,dolphins,1
